Date,Close,Signal,TN_TP_FP_FN,proba_buy,proba_hold,Equity Value,DCA Value
2025-01-15,5949.91,Hold,TN,0.0058239723150257,0.9941760276849744,13693.79313347119,13521.537810572625
2025-01-16,5937.34,Hold,TN,0.006198720004361,0.9938012799956388,13664.863119456235,13492.971709525904
2025-01-17,5996.66,Hold,TN,0.0009535435470117,0.9990464564529884,13801.388849875268,13627.780071824354
2025-01-21,6049.24,Hold,TN,0.0007441481781245,0.9992558518218754,13922.402385030911,13747.27136800865
2025-01-22,6086.37,Hold,TN,0.0007215399885631,0.9992784600114368,14007.857549738575,13831.65158534077
2025-01-23,6118.71,Hold,TN,0.0007211445664604,0.9992788554335396,14082.288468851044,13905.14623194785
2025-01-24,6101.24,Hold,TN,0.0006711143786475,0.9993288856213524,14042.081042849348,13865.444578384904
2025-01-27,6012.28,Hold,TN,0.0013442164686986,0.9986557835313014,13837.338477473806,13663.27748617199
2025-01-28,6067.7,Hold,TN,0.0007379441152406,0.9992620558847594,13964.888308556456,13789.22285769222
2025-01-29,6039.31,Hold,TN,0.0009218737882846,0.9990781262117152,13899.54836441289,13724.704829950262
2025-01-30,6071.17,Hold,TN,0.0007379441152406,0.9992620558847594,13972.874557453188,13797.108646923098
2025-01-31,6040.53,Hold,TN,0.0009218737882846,0.9990781262117152,13902.356209846323,13727.477355270628
2025-02-03,5994.57,Hold,TN,0.0062851416000029,0.9937148583999972,13796.578688436026,13623.030417791922
2025-02-04,6037.88,Hold,TN,0.0014798319772526,0.9985201680227472,13896.257201322884,13721.455066664916
2025-02-05,6061.48,Hold,TN,0.0013358851038501,0.99866411489615,13950.57289987125,13775.08752368183
2025-02-06,6083.57,Hold,TN,0.0010241104146697,0.9989758895853302,14001.413314317582,13825.288412474358
2025-02-07,6025.99,Hold,TN,0.0013635465098459,0.998636453490154,13868.892215910168,13694.434307600037
2025-02-10,6066.44,Hold,TN,0.0009322661816012,0.9990677338183988,14961.98840261701,14786.359429902333
2025-02-11,6068.5,Hold,TN,0.0009385141990047,0.9990614858009952,15966.72951867674,15791.380480209535
2025-02-12,6051.97,Hold,TN,0.0016155854384347,0.9983844145615652,15928.68551456638,15748.366305481371
2025-02-13,6115.07,Hold,TN,0.0050285397950015,0.9949714602049984,16073.910962803751,15912.564395339032
2025-02-14,6114.63,Hold,TN,0.0050285397950015,0.9949714602049984,16072.898297237598,15911.419432430357
2025-02-18,6129.58,Hold,TN,0.0050285397950015,0.9949714602049984,16107.305911360398,15950.322149441008
2025-02-19,6144.15,Hold,TN,0.0050285397950015,0.9949714602049984,16140.838950676063,15988.236034848711
2025-02-20,6117.52,Hold,TN,0.0050285397950015,0.9949714602049984,16079.549668797123,15918.939756989608
2025-02-21,6013.13,Hold,TN,0.0131502509091237,0.9868497490908764,15839.294763226608,15647.297306906543
2025-02-24,5983.25,Hold,TN,0.0131502509091237,0.9868497490908764,15770.525565234013,15569.543916653818
2025-02-25,5955.25,Hold,TN,0.0131502509091237,0.9868497490908764,15706.083211024084,15496.682640647248
2025-02-26,5956.06,Hold,TN,0.0131502509091237,0.9868497490908764,15707.947436270873,15498.790413274583
2025-02-27,5861.57,Hold,TN,0.0241123736276819,0.975887626372318,15490.477505938867,15252.909628636697
2025-02-28,5954.5,Hold,TN,0.0141908986079941,0.9858091013920058,15704.357076536318,15494.730999325644
2025-03-03,5849.72,Hold,TN,0.0466999673929065,0.9533000326070934,15463.204581032167,15222.073695755347
2025-03-04,5778.15,Hold,TN,0.0441945496236679,0.955805450376332,15298.485320646289,15035.835069905695
2025-03-05,5842.63,Hold,TN,0.0466999673929065,0.9533000326070934,15446.886856341152,15203.624179795112
2025-03-06,5738.52,Hold,TN,0.0441945496236679,0.955805450376332,15207.276374312738,14932.710342472114
2025-03-07,5770.2,Hold,TN,0.0441945496236679,0.955805450376332,15280.18829507597,15015.147671896688
2025-03-10,5614.56,Hold,TN,0.0441945496236679,0.955805450376332,15921.980866174785,15610.143064837315
2025-03-11,5572.07,Hold,TN,0.0441945496236679,0.955805450376332,16824.18959366122,16492.008254838856
2025-03-12,5599.3,Hold,TN,0.0441945496236679,0.955805450376332,16886.859783130374,16572.60260932099
2025-03-13,5521.52,Hold,TN,0.0093349270884037,0.9906650729115962,16707.848129185797,16342.392220352194
2025-03-14,5638.94,Hold,TN,0.0093349270884037,0.9906650729115962,16978.091744590427,16689.927626275516
2025-03-17,5675.12,Hold,TN,0.002283844079147,0.9977161559208528,17061.360472280256,16797.011862234518
2025-03-18,5614.66,Hold,TN,0.002283844079147,0.9977161559208528,16922.21101743982,16618.064573509222
2025-03-19,5675.29,Hold,TN,0.002283844079147,0.9977161559208528,17061.75172943082,16797.515021994415
2025-03-20,5662.89,Hold,TN,0.002283844079147,0.9977161559208528,17033.21297256642,16760.813957154955
2025-03-21,5667.56,Hold,TN,0.002283844079147,0.9977161559208528,17043.961036643577,16774.636051735622
2025-03-24,5767.57,Hold,TN,0.0017480391426305,0.9982519608573694,17274.135316805536,17070.641978719028
2025-03-25,5776.65,Hold,TN,0.0017480391426305,0.9982519608573694,17295.033051670755,17097.51662942405
2025-03-26,5712.2,Hold,TN,0.0022902808698724,0.9977097191301276,17146.700561355407,16906.759885157673
2025-03-27,5693.31,Hold,TN,0.0021120748639303,0.9978879251360696,17103.224987390207,16850.84995654337
2025-03-28,5580.94,Hold,TN,0.002283844079147,0.9977161559208528,16844.604010869865,16518.26135525224
2025-03-31,5611.85,Hold,TN,0.0022739140132127,0.9977260859867872,16915.743766892323,16609.747638654477
2025-04-01,5633.07,Hold,TN,0.0021120748639303,0.9978879251360696,16964.581865332846,16672.55381574264
2025-04-02,5670.97,Hold,TN,0.0018884172753601,0.9981115827246398,17051.809194781286,16784.728844566474
2025-04-03,5396.52,Hold,TN,0.002283844079147,0.9977161559208528,16420.159047891473,15972.421808664103
2025-04-04,5074.08,Hold,FN,0.0199933280692436,0.9800066719307564,15678.059308911143,15018.075732306439
2025-04-07,5062.25,Buy,TP,0.1158987786202246,0.8841012213797753,15650.83241425745,14983.061732544278
2025-04-08,4982.77,Buy,TP,0.1506084465928682,0.8493915534071318,15405.106075122641,14747.819745976525
2025-04-09,5456.9,Hold,TN,0.0205741712623788,0.9794258287376212,16870.962003330824,16151.132316325917
2025-04-10,5268.05,Hold,FN,0.0499716805303774,0.9500283194696226,17287.099155499818,16592.181018347554
2025-04-11,5363.36,Buy,TP,0.0534395646293735,0.9465604353706264,18581.766711903172,17892.368141259958
2025-04-14,5405.97,Buy,TP,0.210169155322363,0.789830844677637,18729.39228236538,18034.516683684687
2025-04-15,5396.63,Buy,TP,0.210169155322363,0.789830844677637,18697.033145352543,18003.358096821346
2025-04-16,5275.7,Buy,TP,0.9512436170617016,0.0487563829382985,18278.062006277327,17599.93112579524
2025-04-17,5282.7,Buy,TP,0.848465352850427,0.151534647149573,18302.31403615847,17623.28338575706
2025-04-21,5158.2,Buy,TP,0.9229162795051786,0.0770837204948213,17870.97436184387,17207.946762150426
2025-04-22,5287.76,Buy,TP,0.3410007617566769,0.6589992382433232,18319.844789186838,17640.163733672318
2025-04-23,5375.86,Hold,FN,0.0328933544047116,0.9671066455952884,18625.073908119495,17934.068605477492
2025-04-24,5484.77,Hold,FN,0.0241142920475615,0.9758857079524385,19002.400847313096,18297.39641011202
2025-04-25,5525.21,Hold,FN,0.0457124228910162,0.9542875771089836,19142.508288512152,18432.30575194858
2025-04-28,5528.75,Hold,FN,0.0304984756911967,0.9695015243088032,19154.772886480612,18444.115323414986
2025-04-29,5560.83,Hold,FN,0.0434848503886682,0.9565151496113318,19265.91647485019,18551.135394782865
2025-04-30,5569.06,Buy,TP,0.0732612899568966,0.9267387100431034,19294.42993283902,18578.59098042369
2025-05-01,5604.14,Hold,FN,0.0093155213632084,0.9906844786367917,19415.967248300516,18695.619163203773
2025-05-02,5686.67,Hold,FN,0.0178762595711451,0.9821237404288548,19701.89868059918,18970.942308153615
2025-05-05,5650.38,Hold,FN,0.0199693650391368,0.9800306349608632,19576.169228543946,18849.877520437272
2025-05-06,5606.91,Hold,FN,0.0089513954613533,0.9910486045386466,19425.56412298205,18704.859986074378
2025-05-07,5631.28,Hold,FN,0.0101535153126666,0.9898464846873334,19509.9958327254,18786.15921111288
2025-05-08,5663.94,Hold,FN,0.0026680828992524,0.9973319171007476,19623.148874999413,18895.11418402045
2025-05-09,5659.91,Hold,FN,0.0024522084409517,0.9975477915590484,19609.18663493927,18881.66995435672
2025-05-12,5844.19,Hold,FN,0.0017311242480178,0.998268875751982,21247.638644438823,20496.434878037282
2025-05-13,5886.55,Hold,TN,0.00161162632376,0.99838837367624,21394.398070976706,20644.997635482483
2025-05-14,5892.58,Buy,FP,0.1123759181389385,0.8876240818610615,21415.289462431458,20666.145733390757
2025-05-15,5916.93,Hold,TN,0.0012808605548847,0.9987191394451151,21503.784196217035,20751.54476889101
2025-05-16,5958.38,Hold,TN,0.0012388935216969,0.9987611064783032,21654.42512908817,20896.916022340098
2025-05-19,5963.6,Hold,TN,0.0012388935216969,0.9987611064783032,21673.39607407218,20915.223330977115
2025-05-20,5940.46,Hold,TN,0.0012388935216969,0.9987611064783032,21589.298819871023,20834.06794364751
2025-05-21,5844.61,Hold,FN,0.0013143551269112,0.9986856448730888,21240.95301973355,20497.907879881637
2025-05-22,5842.01,Hold,FN,0.0013143551269112,0.9986856448730888,21231.50389004803,20488.78929703562
2025-05-23,5802.82,Hold,FN,0.0013143551269112,0.9986856448730888,21089.076431442,20351.344196368067
2025-05-27,5921.54,Hold,TN,0.0013143551269112,0.9986856448730888,21520.538230005597,20767.712717706454
2025-05-28,5888.55,Hold,FN,0.0013143551269112,0.9986856448730888,21400.6433114189,20652.011929979424
2025-05-29,5912.17,Hold,FN,0.0013143551269112,0.9986856448730888,21486.48502033123,20734.85074798829
2025-05-30,5911.69,Hold,FN,0.0012221768459983,0.9987778231540017,21484.740565620054,20733.167317309024
2025-06-02,5935.94,Hold,FN,0.0012221768459983,0.9987778231540017,21572.8718713408,20818.215638084424
2025-06-03,5970.37,Hold,FN,0.0011520014051733,0.9988479985948266,21698.000154061025,20938.966717849256
2025-06-04,5970.81,Hold,FN,0.0011520014051733,0.9988479985948266,21699.599237546267,20940.509862638584
2025-06-05,5939.3,Hold,FN,0.0012221768459983,0.9987778231540017,21585.08305431902,20829.999652839288
2025-06-06,6000.36,Hold,FN,0.0011520014051733,0.9988479985948266,21806.992230702886,21044.146063830878
2025-06-09,6005.88,Hold,FN,0.0011520014051733,0.9988479985948266,21827.053459881387,21063.505516642435
2025-06-10,6038.81,Hold,FN,0.0011520014051733,0.9988479985948266,22946.730321629188,22178.99587553456
2025-06-11,6022.24,Hold,FN,0.0011520014051733,0.9988479985948266,23886.510291287217,23118.138527537583
2025-06-12,6045.26,Hold,FN,0.0012403602071799,0.99875963979282,23970.171431810584,23206.507564458054
2025-06-13,5976.97,Buy,TP,0.9214706951517638,0.0785293048482361,23721.98640633966,22944.356325044555
2025-06-16,6033.11,Buy,TP,0.9662396445933792,0.0337603554066209,23944.8003600406,23159.866217864495
2025-06-17,5982.72,Buy,TP,0.8087260300156361,0.1912739699843638,23744.80757188616,22966.429390304882
2025-06-18,5980.87,Buy,TP,0.7781511804816278,0.2218488195183722,23737.46510992772,22959.327621481993
2025-06-20,5967.84,Buy,TP,0.7412824342151769,0.2587175657848231,23685.750364350177,22909.308136205116
2025-06-23,6025.17,Buy,TP,0.6888255393026287,0.3111744606973713,23913.287307094655,23129.386193835457
2025-06-24,6092.18,Buy,TP,0.9863922368775035,0.0136077631224963,24179.243185924366,23386.623776982306
2025-06-25,6092.16,Buy,TP,0.9637035103925456,0.0362964896074543,24179.163807957248,23386.54700110314
2025-06-26,6141.02,Buy,FP,0.9637035103925456,0.0362964896074543,24373.084181627146,23574.11047390653
2025-06-27,6173.07,Buy,FP,0.9604618153400196,0.0395381846599802,24500.287373934145,23697.1438202706
2025-06-30,6204.95,Buy,FP,0.2243885436426902,0.7756114563573098,24626.815853520642,23819.52457166176
2025-07-01,6198.01,Buy,FP,0.289509503299003,0.710490496700997,24599.27169893061,23792.88334159104
2025-07-02,6227.42,Buy,FP,0.2082562664326783,0.7917437335673216,24715.996999578,23905.782271905155
2025-07-03,6279.35,Buy,FP,0.1846188330996254,0.8153811669003745,24922.10189120055,24105.130842160583
2025-07-07,6229.98,Buy,FP,0.2499379186453831,0.7500620813546168,24726.157379369135,23915.609584438447
